,species_id,measurement_id,species_name,sepal_length,sepal_width,petal_length,petal_width
0,1,1,setosa,5.1,3.5,1.4,0.2
1,1,2,setosa,4.9,3.0,1.4,0.2
2,1,3,setosa,4.7,3.2,1.3,0.2
3,1,4,setosa,4.6,3.1,1.5,0.2
4,1,5,setosa,5.0,3.6,1.4,0.2
5,1,6,setosa,5.4,3.9,1.7,0.4
6,1,7,setosa,4.6,3.4,1.4,0.3
7,1,8,setosa,5.0,3.4,1.5,0.2
8,1,9,setosa,4.4,2.9,1.4,0.2
9,1,10,setosa,4.9,3.1,1.5,0.1
10,1,11,setosa,5.4,3.7,1.5,0.2
11,1,12,setosa,4.8,3.4,1.6,0.2
12,1,13,setosa,4.8,3.0,1.4,0.1
13,1,14,setosa,4.3,3.0,1.1,0.1
14,1,15,setosa,5.8,4.0,1.2,0.2
15,1,16,setosa,5.7,4.4,1.5,0.4
16,1,17,setosa,5.4,3.9,1.3,0.4
17,1,18,setosa,5.1,3.5,1.4,0.3
18,1,19,setosa,5.7,3.8,1.7,0.3
19,1,20,setosa,5.1,3.8,1.5,0.3
20,1,21,setosa,5.4,3.4,1.7,0.2
21,1,22,setosa,5.1,3.7,1.5,0.4
22,1,23,setosa,4.6,3.6,1.0,0.2
23,1,24,setosa,5.1,3.3,1.7,0.5
24,1,25,setosa,4.8,3.4,1.9,0.2
25,1,26,setosa,5.0,3.0,1.6,0.2
26,1,27,setosa,5.0,3.4,1.6,0.4
27,1,28,setosa,5.2,3.5,1.5,0.2
28,1,29,setosa,5.2,3.4,1.4,0.2
29,1,30,setosa,4.7,3.2,1.6,0.2
30,1,31,setosa,4.8,3.1,1.6,0.2
31,1,32,setosa,5.4,3.4,1.5,0.4
32,1,33,setosa,5.2,4.1,1.5,0.1
33,1,34,setosa,5.5,4.2,1.4,0.2
34,1,35,setosa,4.9,3.1,1.5,0.2
35,1,36,setosa,5.0,3.2,1.2,0.2
36,1,37,setosa,5.5,3.5,1.3,0.2
37,1,38,setosa,4.9,3.6,1.4,0.1
38,1,39,setosa,4.4,3.0,1.3,0.2
39,1,40,setosa,5.1,3.4,1.5,0.2
40,1,41,setosa,5.0,3.5,1.3,0.3
41,1,42,setosa,4.5,2.3,1.3,0.3
42,1,43,setosa,4.4,3.2,1.3,0.2
43,1,44,setosa,5.0,3.5,1.6,0.6
44,1,45,setosa,5.1,3.8,1.9,0.4
45,1,46,setosa,4.8,3.0,1.4,0.3
46,1,47,setosa,5.1,3.8,1.6,0.2
47,1,48,setosa,4.6,3.2,1.4,0.2
48,1,49,setosa,5.3,3.7,1.5,0.2
49,1,50,setosa,5.0,3.3,1.4,0.2
50,2,51,versicolor,7.0,3.2,4.7,1.4
51,2,52,versicolor,6.4,3.2,4.5,1.5
52,2,53,versicolor,6.9,3.1,4.9,1.5
53,2,54,versicolor,5.5,2.3,4.0,1.3
54,2,55,versicolor,6.5,2.8,4.6,1.5
55,2,56,versicolor,5.7,2.8,4.5,1.3
56,2,57,versicolor,6.3,3.3,4.7,1.6
57,2,58,versicolor,4.9,2.4,3.3,1.0
58,2,59,versicolor,6.6,2.9,4.6,1.3
59,2,60,versicolor,5.2,2.7,3.9,1.4
60,2,61,versicolor,5.0,2.0,3.5,1.0
61,2,62,versicolor,5.9,3.0,4.2,1.5
62,2,63,versicolor,6.0,2.2,4.0,1.0
63,2,64,versicolor,6.1,2.9,4.7,1.4
64,2,65,versicolor,5.6,2.9,3.6,1.3
65,2,66,versicolor,6.7,3.1,4.4,1.4
66,2,67,versicolor,5.6,3.0,4.5,1.5
67,2,68,versicolor,5.8,2.7,4.1,1.0
68,2,69,versicolor,6.2,2.2,4.5,1.5
69,2,70,versicolor,5.6,2.5,3.9,1.1
70,2,71,versicolor,5.9,3.2,4.8,1.8
71,2,72,versicolor,6.1,2.8,4.0,1.3
72,2,73,versicolor,6.3,2.5,4.9,1.5
73,2,74,versicolor,6.1,2.8,4.7,1.2
74,2,75,versicolor,6.4,2.9,4.3,1.3
75,2,76,versicolor,6.6,3.0,4.4,1.4
76,2,77,versicolor,6.8,2.8,4.8,1.4
77,2,78,versicolor,6.7,3.0,5.0,1.7
78,2,79,versicolor,6.0,2.9,4.5,1.5
79,2,80,versicolor,5.7,2.6,3.5,1.0
80,2,81,versicolor,5.5,2.4,3.8,1.1
81,2,82,versicolor,5.5,2.4,3.7,1.0
82,2,83,versicolor,5.8,2.7,3.9,1.2
83,2,84,versicolor,6.0,2.7,5.1,1.6
84,2,85,versicolor,5.4,3.0,4.5,1.5
85,2,86,versicolor,6.0,3.4,4.5,1.6
86,2,87,versicolor,6.7,3.1,4.7,1.5
87,2,88,versicolor,6.3,2.3,4.4,1.3
88,2,89,versicolor,5.6,3.0,4.1,1.3
89,2,90,versicolor,5.5,2.5,4.0,1.3
90,2,91,versicolor,5.5,2.6,4.4,1.2
91,2,92,versicolor,6.1,3.0,4.6,1.4
92,2,93,versicolor,5.8,2.6,4.0,1.2
93,2,94,versicolor,5.0,2.3,3.3,1.0
94,2,95,versicolor,5.6,2.7,4.2,1.3
95,2,96,versicolor,5.7,3.0,4.2,1.2
96,2,97,versicolor,5.7,2.9,4.2,1.3
97,2,98,versicolor,6.2,2.9,4.3,1.3
98,2,99,versicolor,5.1,2.5,3.0,1.1
99,2,100,versicolor,5.7,2.8,4.1,1.3
100,3,101,virginica,6.3,3.3,6.0,2.5
101,3,102,virginica,5.8,2.7,5.1,1.9
102,3,103,virginica,7.1,3.0,5.9,2.1
103,3,104,virginica,6.3,2.9,5.6,1.8
104,3,105,virginica,6.5,3.0,5.8,2.2
105,3,106,virginica,7.6,3.0,6.6,2.1
106,3,107,virginica,4.9,2.5,4.5,1.7
107,3,108,virginica,7.3,2.9,6.3,1.8
108,3,109,virginica,6.7,2.5,5.8,1.8
109,3,110,virginica,7.2,3.6,6.1,2.5
110,3,111,virginica,6.5,3.2,5.1,2.0
111,3,112,virginica,6.4,2.7,5.3,1.9
112,3,113,virginica,6.8,3.0,5.5,2.1
113,3,114,virginica,5.7,2.5,5.0,2.0
114,3,115,virginica,5.8,2.8,5.1,2.4
115,3,116,virginica,6.4,3.2,5.3,2.3
116,3,117,virginica,6.5,3.0,5.5,1.8
117,3,118,virginica,7.7,3.8,6.7,2.2
118,3,119,virginica,7.7,2.6,6.9,2.3
119,3,120,virginica,6.0,2.2,5.0,1.5
120,3,121,virginica,6.9,3.2,5.7,2.3
121,3,122,virginica,5.6,2.8,4.9,2.0
122,3,123,virginica,7.7,2.8,6.7,2.0
123,3,124,virginica,6.3,2.7,4.9,1.8
124,3,125,virginica,6.7,3.3,5.7,2.1
125,3,126,virginica,7.2,3.2,6.0,1.8
126,3,127,virginica,6.2,2.8,4.8,1.8
127,3,128,virginica,6.1,3.0,4.9,1.8
128,3,129,virginica,6.4,2.8,5.6,2.1
129,3,130,virginica,7.2,3.0,5.8,1.6
130,3,131,virginica,7.4,2.8,6.1,1.9
131,3,132,virginica,7.9,3.8,6.4,2.0
132,3,133,virginica,6.4,2.8,5.6,2.2
133,3,134,virginica,6.3,2.8,5.1,1.5
134,3,135,virginica,6.1,2.6,5.6,1.4
135,3,136,virginica,7.7,3.0,6.1,2.3
136,3,137,virginica,6.3,3.4,5.6,2.4
137,3,138,virginica,6.4,3.1,5.5,1.8
138,3,139,virginica,6.0,3.0,4.8,1.8
139,3,140,virginica,6.9,3.1,5.4,2.1
140,3,141,virginica,6.7,3.1,5.6,2.4
141,3,142,virginica,6.9,3.1,5.1,2.3
142,3,143,virginica,5.8,2.7,5.1,1.9
143,3,144,virginica,6.8,3.2,5.9,2.3
144,3,145,virginica,6.7,3.3,5.7,2.5
145,3,146,virginica,6.7,3.0,5.2,2.3
146,3,147,virginica,6.3,2.5,5.0,1.9
147,3,148,virginica,6.5,3.0,5.2,2.0
